-0.63	0.66
2.68	-0.17
-0.81	-0.96
2.32	0.36
-0.51	-0.24
0.03	1.42
-0.24	-0.28
-0.22	1.3
-0.27	1.24
0.04	2.85
-0.3	-0.88
2.66	-0.74
0.38	0.11
-0.82	-0.49
-0.14	-0.75
2.5	0.56
-0.71	-0.69
-0.31	2.07
2.86	0.74
-0.48	2.04
-0.77	1.16
-0.63	-0.55
-0.31	-0.98
-0.41	0.31
0.08	-0.8
-0.59	1.31
-0.26	-0.52
-0.22	0.74
2.66	1.91
-0.41	0.25
0.6	1.63
-0.03	1.5
0.79	-0.74
1.62	-0.39
2.26	-0.52
-0.68	0.78
0.57	-0.68
0.23	2.67
2.49	-0.05
1.24	2.28
-0.12	2.7
1.56	-0.51
-0.61	1.05
1.89	-0.09
2.7	2.66
1.37	2.25
-0.03	-0.73
0	-0.01
2.92	0.03
1.02	-0.9
-0.33	-0.56
-0.85	-0.15
0.94	-0.42
-0.13	1.92
1.47	-0.85
-0.82	0.99
1.28	0.57
1.07	-0.01
-0.2	0.69
1.06	-0.54
-0.35	1.02
2.34	-0.34
-0.68	-0.07
1.97	-0.47
0.63	1.37
-0.73	-0.52
-0.86	-0.79
1.6	-0.21
1.99	2.82
2.56	-0.72
0.43	-0.72
1.51	1.24
0.17	0.98
2.54	1.09
0.82	-0.06
1.53	2.23
1.02	0.36
2.3	0.3
1.04	-0.28
-0.6	-0.18
-0.78	1.49
0.3	0.93
2.4	-0.69
-0.9	1.93
-0.45	2.58
-0.97	1.1
0.65	2.58
1.07	2.21
-0.89	2.01
1.92	-0.15
1.07	0.04
1.84	2.53
2.59	-0.06
-0.49	2.54
-0.15	-0.32
-0.89	2.66
0.78	-0.02
-0.72	0.91
-0.66	-0.01
1.15	-0.61
-0.02	-0.27
-0.9	0.17
-0.9	-0.26
-0.24	1.67
2.5	2.78
2.34	0.86
-0.15	-0.9
-0.35	0.78
-0.78	-0.1
-0.73	2.45
2.69	0.47
0.67	2.47
-0.34	2.47
-0.33	-0.66
0.13	-0.49
-0.71	0.69
-0.39	1.25
2.52	-0.4
-0.62	-0.26
-0.58	1.64
1.33	-0.46
1.24	0.43
-0.69	1.07
-0.19	1.48
0.58	1.29
-0.26	2.04
-0.32	-0.19
-0.03	-0.55
2.53	-0.85
0.26	0.1
0.45	1.57
0.43	1.06
-0.64	-0.44
1.38	1.23
0.51	0.34
-0.08	-0.65
0.97	-0.67
0.62	-0.27
-0.49	0.31
-0.22	-0.04
-0.78	-0.85
0.28	-0.18
1.12	0.31
-0.01	2.97
-0.66	2.74
-0.56	2.04
-0.56	-0.21
0.4	2.29
-0.28	-0.55
-0.71	-0.65
0.7	-0.11
0.5	-0.44
2.67	0.2
0	0.46
-0.96	2.9
-0.81	2.92
1.65	-0.97
-0.96	2.99
2.81	-0.45
-0.56	0.45
-0.41	0.52
0.65	-0.96
1.63	-0.46
-0.06	0.53
1.68	0.88
-0.21	-0.87
-0.55	2.65
1.52	-0.36
2.71	-0.4
-0.2	-0.43
-0.76	0.18
-0.54	-0.48
1.71	1.85
2.21	0.55
1.96	-0.65
1.73	-0.13
0.09	-0.11
-0.76	-0.53
1.64	-0.37
-0.51	1.82
2.15	0.62
-0.76	-0.48
-0.4	-0.09
-0.28	1.76
1.04	-0.5
0.98	-0.26
1.76	1.99
2.77	0.56
-0.11	-0.93
0.4	2.54
-0.16	-0.66
0.68	-0.82
0.06	-0.31
0.31	2.6
0.87	2.16
1.66	1.7
0.37	-0.6
1.12	-0.47
2.4	1.08
1.69	2.05
0.36	0.57
1.08	-0.14
-0.68	-0.3
1.22	-0.38
2.27	-0.85
0.87	1.32
1.18	0.41
0.29	2.42
-0.72	1.94
-0.19	-0.55
0	-0.77
-0.57	-0.62
1.47	2.25
-0.53	-0.25
